ua,tc,amt,amt_avg,cc,dwm,lzd
0xc8c3c564c68392892f5f8d545cd70076e91bdded,238,0.0,0.0,3 / 2 / 4,72 / 14 / 6,309
0xad8d72f0d736f13be06285640231fe06d0a8cdd9,115,0.39,0.003391304347826087,6 / 14 / 9,6 / 5 / 3,104
0x79b1c3fd8da05a681d868625f684aa1e25d39b55,102,0.05,0.0004901960784313725,7 / 19 / 11,48 / 26 / 9,288
0x63a1a3b6adfdfad217df7af5e5e508ffdc012626,114,0.85,0.007456140350877193,5 / 20 / 13,9 / 9 / 9,246
0x946a3a24ab261e4247f4920cc61fd26e864ed738,165,0.0,0.0,2 / 13 / 2,43 / 9 / 3,96
0x8f455f4b64cdcc35a99fd6c792d9365a9512ea87,108,0.14,0.0012962962962962965,5 / 14 / 12,20 / 13 / 8,310
0xad86bc4b43aab58eb07c9676b0b303a2c392a02a,113,0.08,0.0007079646017699115,6 / 12 / 10,23 / 18 / 10,307
0x231561d7abd2bd14d647e90f7924dd1a7bf22a1c,243,0.0,0.0,2 / 13 / 2,63 / 15 / 5,96
0xeb0ca9f5ffbaa201273113334500264d713c2b5d,103,0.34,0.003300970873786408,6 / 9 / 9,8 / 7 / 6,134
0x6e07c1958a64b4ab1817c0bf30e18a99f7219fdb,116,0.54,0.004655172413793104,6 / 13 / 14,27 / 20 / 10,307
0x027912e26d4dbba8bb94e121ee1fb939ece4d4d3,107,0.42,0.003925233644859813,6 / 21 / 15,10 / 7 / 4,93
0x32bfd32593c3fe7e53e67a7062d5c2d70c30cd8e,102,0.36,0.003529411764705882,3 / 17 / 11,17 / 8 / 6,131
0xb7bd333f479dfcc0164bad822bb2e2096227fdd5,153,0.53,0.0034640522875816994,6 / 8 / 9,6 / 6 / 5,136
0x94c5c09e48dbaa17615ff5d28c775a5a915b3085,267,0.0,0.0,3 / 14 / 3,64 / 15 / 5,96
0x6ef435b04fbc9cfddb4008aad9c569374c471cc3,233,0.0,0.0,3 / 2 / 4,71 / 12 / 5,309
0x23075297f17a75ce95cfe418251c624209e03bcc,102,0.62,0.00607843137254902,4 / 18 / 8,13 / 4 / 3,79
0xd67d22cf1f79f14eff7d88f45ae2180238005257,111,0.58,0.005225225225225225,3 / 3 / 3,8 / 7 / 4,339
